,Post_ID,Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,Engagement_Level,Total_Engagement,Engagement_Rate,Virality_Score
0,Post_1,TikTok,#Challenge,Video,UK,4163464,339431,53135,19346,High,411912,0.0989,0.1116971348857586
1,Post_2,Instagram,#Education,Shorts,India,4155940,215240,65860,27239,Medium,308339,0.0742,0.09003955783769736
2,Post_3,Twitter,#Challenge,Video,Brazil,3666211,327143,39423,36223,Medium,402789,0.1099,0.12061826228768611
3,Post_4,YouTube,#Education,Shorts,Australia,917951,127125,11687,36806,Low,175618,0.1913,0.2040468391014335
4,Post_5,TikTok,#Dance,Post,Brazil,64866,171361,69581,6376,Medium,247318,3.8128,4.885440754786791
5,Post_6,Instagram,#Challenge,Shorts,Australia,1323566,136282,86979,47129,Low,270390,0.2043,0.27000466920425575
6,Post_7,YouTube,#Comedy,Tweet,Japan,627233,84121,97973,32648,Medium,214742,0.3424,0.498562735060177
7,Post_8,YouTube,#Gaming,Shorts,UK,2066886,317502,45222,33638,High,396362,0.1918,0.213647003269653
8,Post_9,Twitter,#Education,Live Stream,India,2169523,496078,96041,30174,Medium,622293,0.2868,0.3311022745552824
9,Post_10,TikTok,#Gaming,Shorts,India,3898384,8634,69378,42700,Low,120712,0.031,0.04876123029439891
10,Post_11,Instagram,#Comedy,Live Stream,Germany,4070332,379894,46012,25242,High,451148,0.1108,0.12214237069605133
11,Post_12,Twitter,#Music,Reel,Australia,4585669,465871,69083,8999,Medium,543953,0.1186,0.13368518312159033
12,Post_13,YouTube,#Viral,Shorts,Canada,4105651,195560,37627,49089,High,282276,0.0688,0.07791772851613545
13,Post_14,YouTube,#Fitness,Reel,Japan,1633015,312907,45774,30725,High,389406,0.2385,0.26648867279235033
14,Post_15,Twitter,#Comedy,Post,Germany,2471790,370802,54110,17081,High,441993,0.1788,0.20070596612171746
15,Post_16,YouTube,#Gaming,Live Stream,Canada,3079923,124237,44062,26702,Medium,195001,0.0633,0.07761979763779808
16,Post_17,Twitter,#Dance,Reel,UK,294870,213142,20351,20767,Low,254260,0.8623,0.9312951470139383
17,Post_18,TikTok,#Tech,Shorts,UK,2051091,24472,54704,41737,Medium,120913,0.059,0.0856212620502942
18,Post_19,TikTok,#Fashion,Post,USA,3461154,165335,50077,19505,Low,234917,0.0679,0.08234074531211266
19,Post_20,YouTube,#Education,Tweet,UK,3143932,298685,84720,37162,Low,420567,0.1338,0.16071817074924014
20,Post_21,Twitter,#Gaming,Video,Brazil,14095,268310,90495,16968,Low,375773,26.66,33.08038311457964
21,Post_22,TikTok,#Viral,Live Stream,USA,3924406,35376,72832,3949,Medium,112157,0.0286,0.0471380891783368
22,Post_23,YouTube,#Dance,Shorts,Brazil,599766,223690,22531,10538,Low,256759,0.4281,0.46566494266097114
23,Post_24,Twitter,#Education,Shorts,Japan,4357851,449803,63438,28280,High,541521,0.1243,0.13882048743750072
24,Post_25,YouTube,#Dance,Tweet,Germany,731492,474649,98377,3654,High,576680,0.7884,0.922849463835558
25,Post_26,YouTube,#Dance,Live Stream,Brazil,4910814,197287,53218,14896,Low,265401,0.054,0.06488109710528642
26,Post_27,Instagram,#Gaming,Video,India,4369260,212278,21264,18172,Low,251714,0.0576,0.06247694117539355
27,Post_28,YouTube,#Tech,Post,Canada,1874437,322601,35671,48768,Medium,407040,0.2172,0.23618345135099234
28,Post_29,Instagram,#Gaming,Live Stream,Canada,1653907,91836,77370,2823,Low,172029,0.104,0.15079384753798128
29,Post_30,YouTube,#Education,Shorts,Japan,4683280,311330,3357,5110,Medium,319797,0.0683,0.06900163987632599
30,Post_31,Instagram,#Comedy,Reel,Australia,1365655,156164,84930,18303,Low,259397,0.1899,0.2521332254485943
31,Post_32,Twitter,#Music,Video,USA,2342195,91944,89578,44440,Medium,225962,0.0965,0.13471978208475383
32,Post_33,YouTube,#Gaming,Live Stream,USA,4977438,8731,4500,46045,Low,59276,0.0119,0.012813017459986442
